,area,price,sqFt,sqFt price,Bedrooms,posted date
277," Nile Valley, Chanda",98 lakhs,1715 SqFeet,5714,3 Bedroom,Jun 2
278," in Aminpur, Hyderabad",40.18 lakhs,1099 SqFeet,3656,2 Bedroom,May 20
279," in Hydernagar, Hyderabad",1.06 crore,1345 SqFeet,7899,2 Bedroom,May 29
280," in Alwal, Hyderabad",62.98 lakhs,1145 SqFeet,5500,2 Bedroom,May 29
281," Chanda Nagar, Hyderabad",76.31 lakhs,1272 SqFeet,5999,2 Bedroom,May 29
282," in Bachupally, Hyderabad",96.94 lakhs,1701 SqFeet,5699,3 Bedroom,May 29
283," in Ghatkesar, Hyderabad",46.86 lakhs,1019 SqFeet,4599,2 Bedroom,May 30
284," in Miyapur, Hyderabad",58.3 lakhs,1100 SqFeet,5300,2 Bedroom,May 26
285," in Bachupally, Hyderabad",78 lakhs,1900 SqFeet,4105,3 Bedroom,May 30
286," Orange Estella, Karmanghat",1.58 crore,2430 SqFeet,6500,3 Bedroom,May 26
287," in Narapally, Hyderabad",87.53 lakhs,1621 SqFeet,5400,3 Bedroom,May 29
288," Aditya Athena, Shaikpet",1.51 crore,1770 SqFeet,8549,3 Bedroom,May 26
289," Bandlaguda Jagir, Hyderabad",57.8 lakhs,1066 SqFeet,5422,2 Bedroom,May 29
290," in Nallagandla, Hyderabad",99.41 lakhs,1265 SqFeet,7858,2 Bedroom,May 29
291," in Muthangi, Hyderabad",36.52 lakhs,976 SqFeet,3742,2 Bedroom,May 15
292," in Patelguda, Hyderabad",35.15 lakhs,918 SqFeet,3829,2 Bedroom,May 15
293," in Patancheru, Hyderabad",3.52 lakhs,952 SqFeet,370,2 Bedroom,May 15
294," in Attapur, Hyderabad",,1920 SqFeet,,3 Bedroom,May 29
295," Bandlaguda Jagir, Hyderabad",64.95 lakhs,1209 SqFeet,5372,2 Bedroom,May 26
296," Bandlaguda Jagir, Hyderabad",93.24 lakhs,1554 SqFeet,6000,3 Bedroom,May 26
297," Banjara Hills, Hyderabad",2.21 crores,1920 SqFeet,11500,3 Bedroom,May 26
298," in Puppalaguda, Hyderabad",1.43 crore,2040 SqFeet,6994,3 Bedroom,May 26
299," in Alwal, Hyderabad",93.55 lakhs,1610 SqFeet,5811,3 Bedroom,May 26
300," Orange Estella, Karmanghat",1.58 crore,2430 SqFeet,6500,3 Bedroom,
301," in Kapra, Hyderabad",46.6 lakhs,1004 SqFeet,4641,2 Bedroom,May 25
302," Muppas Melody, Tellapur",68.62 lakhs,1010 SqFeet,6794,2 Bedroom,May 25
303," in Malkajgiri, Hyderabad",45 lakhs,910 SqFeet,4945,2 Bedroom,May 25
304," in Kismatpur, Hyderabad",,1092 SqFeet,,2 Bedroom,May 26
305," Dilsukh Nagar, Hyderabad",60.5 lakhs,1210 SqFeet,5000,2 Bedroom,May 24
306," Hallmark Pinnacle, Patighanpur",1 - 1.5 crores,1700 SqFeet,,3 Bedroom,May 22
307," in Kistareddypet, Hyderabad",35.7 lakhs,990 SqFeet,3606,2 Bedroom,May 8
308," in Indresham, Hyderabad",36.7 lakhs,988 SqFeet,3715,2 Bedroom,May 8
309," Chanda Nagar, Hyderabad",60 lacs - 1 crore,1560 SqFeet,,3 Bedroom,May 19
310," Spaces Ameya, Miyapur",68.96 lakhs,1210 SqFeet,5699,2 Bedroom,May 2
311," in Kokapet, Hyderabad",2.1 crores,2630 SqFeet,7985,4 Bedroom,May 2
312," SAS Crown, Kokapet",5.84 crores,6566 SqFeet,8894,4 Bedroom,May 2
313," in Bachupally, Hyderabad",90 lakhs,1099 SqFeet,8189,2 Bedroom,May 2
314," Poulomi Avante, Kokapet",1 crore,1310 SqFeet,7634,2 Bedroom,May 2
315," in Kokapet, Hyderabad",81.27 lakhs,1290 SqFeet,6300,2 Bedroom,May 2
316," Gardenia Towers, Bowenplly",68.95 lakhs,1300 SqFeet,5304,2 Bedroom,
317," in Serilingampally, Hyderabad",89.41 lakhs,1225 SqFeet,7299,2 Bedroom,May 2
318," Aditya Athena, Shaikpet",1.45 crore,1770 SqFeet,8192,3 Bedroom,May 2
319," in Kokapet, Hyderabad",1.68 crore,1988 SqFeet,8451,3 Bedroom,May 1
320," in Miyapur, Hyderabad",1.08 crore,1590 SqFeet,6792,3 Bedroom,May 1
321," Team4 Nyla, Miyapur",86.74 lakhs,1200 SqFeet,7228,2 Bedroom,Apr 30
322," Hallmark Skyrena, Narsingi",94.06 lakhs,1325 SqFeet,7099,2 Bedroom,Apr 30
323," Sumadhura Horizon, Kondapur",2.04 crores,2475 SqFeet,8242,3 Bedroom,
324," SAS Crown, Kokapet",5.84 crores,6566 SqFeet,8894,4 Bedroom,
325," Cloud 33, Bachupally",90 lakhs,1099 SqFeet,8189,2 Bedroom,
326," Solitaire Unity, Serilingampally",89.41 lakhs,1225 SqFeet,7299,2 Bedroom,
327," Prestige Tranquil, Kokapet",1.32 crore,1765 SqFeet,7479,3 Bedroom,
328," Ramky Odessey, Kokapet",91.59 lakhs,1750 SqFeet,5234,3 Bedroom,
329," Cybercity Westbrook, Kokapet",85.99 lakhs,1075 SqFeet,7999,2 Bedroom,
330," Gem Nakshathra, Kokapet",81.27 lakhs,1290 SqFeet,6300,2 Bedroom,
331," Bollineni Bion, Kondapur",1.93 crore,1840 SqFeet,10500,3 Bedroom,
332," Bollineni Bion, Kondapur",1.49 crore,1290 SqFeet,11550,2 Bedroom,
333," Viva City, Kondapur",1.03 crore,1367 SqFeet,7500,2 Bedroom,
334," The Olympus, Nanakramguda",1.98 crore,2010 SqFeet,9851,3 Bedroom,
335," Western Springs, Nanakramguda",1.86 crore,2185 SqFeet,8513,3 Bedroom,
336,,1.35 crore,1540 SqFeet,8766,3 Bedroom,
337," Prestige Clairemont, Kokapet",1.68 crore,1988 SqFeet,8451,3 Bedroom,
338," Candeur Twins, Miyapur",1.08 crore,1590 SqFeet,6792,3 Bedroom,
339," in Isnapur, Hyderabad",59.72 lakhs,1493 SqFeet,4000,3 Bedroom,May 1
340," Candeur Cresent, Lingampally",1.25 crore,1601 SqFeet,7808,3 Bedroom,
341," Sobha Waterfront, Somajiguda",3 crores,2100 SqFeet,14286,3 Bedroom,
342," Sattva Magnus, Shaikpet",1.25 crore,1200 SqFeet,10393,2 Bedroom,
343," Aditya Athena, Shaikpet",1.45 crore,1770 SqFeet,8192,3 Bedroom,
344," Le Grandiose, Jubilee",3.64 crores,2799 SqFeet,13005,3 Bedroom,
345," Koncept Botanika, Gachibowli",2.36 crores,2626 SqFeet,8990,3 Bedroom,
346," Hallmark Skyrena, Narsingi",94.06 lakhs,1601 SqFeet,5875,3 Bedroom,
347," Team4 Nyla, Miyapur",86.74 lakhs,1200 SqFeet,7228,2 Bedroom,
348," Spaces Ameya, Miyapur",68.96 lakhs,1210 SqFeet,5699,2 Bedroom,
349," Urban One, Kokapet",2.1 crores,2630 SqFeet,7985,4 Bedroom,
350," Poulomi Avante, Kokapet",1 crore,1310 SqFeet,7634,2 Bedroom,
351," Beverly Hills, Kokapet",1.5 crore,1796 SqFeet,8352,3 Bedroom,
352," ASBL Spectra, Nanakramguda",1.62 crore,1980 SqFeet,8199,3 Bedroom,
353," Gundla Pochampally, Hyderabad",44.55 lakhs,1350 SqFeet,3300,2 Bedroom,Apr 20
354," Hallmark Treasor, Narsingi",2.82 crores,3530 SqFeet,8000,4 Bedroom,
355," Koncept Botanika, Gachibowli",7.4 crores,8234 SqFeet,8987,5 Bedroom,
356," Team4 Nyla, Miyapur",,1880 SqFeet,,3 Bedroom,
357," Greater Carnation, Miyapur",,1460 SqFeet,,3 Bedroom,
358," Greater Carnation, Miyapur",,1100 SqFeet,,2 Bedroom,
359," Heights Four, Bollarum",,1315 SqFeet,,2 Bedroom,
360," Heights Four, Bollarum",,1625 SqFeet,,3 Bedroom,
361," Oakshir Villas, Tukkuguda",,2430 SqFeet,,1 Bedroom,
362," Oakshir Villas, Tukkuguda",,2550 SqFeet,,1 Bedroom,
363," Ace Ajanta, Nagole",,1412 SqFeet,,3 Bedroom,
364," Ace Ajanta, Nagole",,1585 SqFeet,,3 Bedroom,
365," Ace Ajanta, Nagole",,1750 SqFeet,,3 Bedroom,
366," Ace Ajanta, Nagole",,2130 SqFeet,,3 Bedroom,
367," Ace Ajanta, Nagole",,1200 SqFeet,,2 Bedroom,
368," Ace Ajanta, Nagole",,1279 SqFeet,,2 Bedroom,
369," Heights 3, A",,985 SqFeet,,2 Bedroom,
370," Heights 3, A",,1855 SqFeet,,3 Bedroom,
371," Gulmohar Residency, Mallapur",,1360 SqFeet,,3 Bedroom,
372," Gulmohar Residency, Mallapur",,1660 SqFeet,,3 Bedroom,
373," Concrete Vivanta, Madinaguda",,1175 SqFeet,,2 Bedroom,
374," Concrete Vivanta, Madinaguda",,1880 SqFeet,,3 Bedroom,
375," Concrete Vivanta, Madinaguda",,1575 SqFeet,,3 Bedroom,
376," Sikhara Pride, Film",,775 SqFeet,,3 Bedroom,
377," Hallmark Pinnacle, Miyapur",,1285 SqFeet,,2 Bedroom,
378," Hallmark Pinnacle, Miyapur",,1585 SqFeet,,3 Bedroom,
379," Hallmark Pinnacle, Miyapur",,1885 SqFeet,,3 Bedroom,
380," Mayflower Platinum, Mallapur",,1500 SqFeet,,3 Bedroom,
381," Mayflower Platinum, Mallapur",,1800 SqFeet,,3 Bedroom,
382," Mayflower Platinum, Mallapur",,2140 SqFeet,,4 Bedroom,
383," Kinetic Palazzo, Nallagandla",,1109 SqFeet,,2 Bedroom,
384," Kinetic Palazzo, Nallagandla",,1912 SqFeet,,3 Bedroom,
385," ASBL Springs, Pocharam",,1475 SqFeet,,3 Bedroom,
386," ASBL Springs, Pocharam",,1210 SqFeet,,2 Bedroom,
387," ASBL Spire, Kokapet",1.41 crore,1905 SqFeet,7402,3 Bedroom,
388," ASBL Spire, Kokapet",1.57 crore,2120 SqFeet,7406,3 Bedroom,
389," Vasavi Nandanam, Jeedimetla",82 lakhs,2010 SqFeet,4080,3 Bedroom,
390," Vasavi Nandanam, Jeedimetla",65 lakhs,1235 SqFeet,5263,2 Bedroom,
391," Supriya Empire, Gajularamaram",47.8 lakhs,1040 SqFeet,4596,2 Bedroom,
392," Supriya Empire, Gajularamaram",61.87 lakhs,1345 SqFeet,4600,3 Bedroom,
393," Blossom Heights, Tolichowki",,1645 SqFeet,,3 Bedroom,
394," Blossom Heights, Tolichowki",,2475 SqFeet,,3 Bedroom,
395," GK Majestic, Secunderabad",,1695 SqFeet,,3 Bedroom,
396," GK Majestic, Secunderabad",,2267 SqFeet,,3 Bedroom,
397," Sukha Vistas, Habshiguda",,1340 SqFeet,,2 Bedroom,
398," East County, Habshiguda",,2988 SqFeet,,4 Bedroom,
399," Sukha Vistas, Habshiguda",,2135 SqFeet,,4 Bedroom,
400," East County, Habshiguda",,1633 SqFeet,,3 Bedroom,
401," Sukha Vistas, Habshiguda",,1590 SqFeet,,3 Bedroom,
402," Vertex Panache, Kokapet",,1480 SqFeet,,3 Bedroom,
403," Vertex Panache, Kokapet",,1270 SqFeet,,2 Bedroom,
404," Vajram Ixora, Gopanapalli",,1990 SqFeet,,3 Bedroom,
405," Vajram Ixora, Gopanapalli",,2640 SqFeet,,3 Bedroom,
406," Arjun Arcade, Uppal",,1500 SqFeet,,3 Bedroom,
407," Arjun Arcade, Uppal",,1750 SqFeet,,3 Bedroom,
408," Palm Woods, Gachibowli",,2550 SqFeet,,3 Bedroom,
409," The Summit, Narsingi",2.9 crores,2075 SqFeet,13976,3 Bedroom,
410," Nithya Aum, Pocharam",57.6 lakhs,1152 SqFeet,5000,2 Bedroom,
411," Vasavi Atlantis, Narsingi",1.28 crore,2170 SqFeet,5899,3 Bedroom,
412," Vasavi Atlantis, Narsingi",1.74 crore,3030 SqFeet,5743,4 Bedroom,
413," Lake City, Hafeezpet",77 lakhs,1290 SqFeet,5969,2 Bedroom,
414," Lake City, Hafeezpet",1.07 crore,2550 SqFeet,4196,3 Bedroom,
415," Capital Gateway, Gollapally",40 lakhs,1370 SqFeet,2920,2 Bedroom,
416," Capital Gateway, Gollapally",48 lakhs,1226 SqFeet,3915,3 Bedroom,
417," Boulder Woods, Bandlaguda",95 lakhs,1741 SqFeet,5457,3 Bedroom,
418," Boulder Woods, Bandlaguda",1.35 crore,2461 SqFeet,5486,4 Bedroom,
419," Boulder Woods, Bandlaguda",74 lakhs,1451 SqFeet,5100,2 Bedroom,
420," Vasavi Metropolis, Uppal",1.11 crore,1945 SqFeet,5707,3 Bedroom,
421," Vasavi Metropolis, Uppal",60 lakhs,1065 SqFeet,5634,2 Bedroom,
422," Vasavi Signature, Kukatpally",95 lakhs,3500 SqFeet,2714,3 Bedroom,
423," Palm Cove, Uppal",52 lakhs,1444 SqFeet,3601,2 Bedroom,
424," Palm Cove, Uppal",61 lakhs,1951 SqFeet,3127,3 Bedroom,
425," Nithya Aum, Pocharam",,1850 SqFeet,,3 Bedroom,
426," GP Trends, Nanakramguda",,1680 SqFeet,,3 Bedroom,
427," Water Front, Nanakramguda",,1850 SqFeet,,3 Bedroom,
428," GP Trends, Nanakramguda",,2800 SqFeet,,4 Bedroom,
429," Water Front, Nanakramguda",,2750 SqFeet,,4 Bedroom,
430," GP Trends, Nanakramguda",,1250 SqFeet,,2 Bedroom,
431," Water Front, Nanakramguda",,1150 SqFeet,,2 Bedroom,
432," Vasavi Skyla, Kondapur",,6500 SqFeet,,5 Bedroom,
433," Vasavi Skyla, Kondapur",,2100 SqFeet,,3 Bedroom,
434," Vasavi Skyla, Kondapur",,3500 SqFeet,,4 Bedroom,
435," Sri Nialayam, LB",,998 SqFeet,,2 Bedroom,
436," Sri Nialayam, LB",,1896 SqFeet,,3 Bedroom,
437," Vasavi Urban, Bachupally",,1250 SqFeet,,2 Bedroom,
438," Ashoka Meadows, Kothur",1.05 crore,1655 SqFeet,6344,3 Bedroom,
439," Kalpataru Avante, Sanat",95.25 lakhs,1269 SqFeet,7506,2 Bedroom,
440," The Huddle, Maheshwaram",1.5 crore,1573 SqFeet,9536,3 Bedroom,
441,,68 lakhs,787 SqFeet,8640,2 Bedroom,
442," Alladin County, Sanat",70 lakhs,1000 SqFeet,7000,2 Bedroom,
443," Empress Heights, Shaikpet",1.7 crore,1700 SqFeet,10000,3 Bedroom,
444," Homes Panache, Gachibowli",1.8 crore,1945 SqFeet,9254,3 Bedroom,
445," phase I, Kukatpally",85 lakhs,1060 SqFeet,8019,2 Bedroom,
446," Capitol Heights, Hitech",1.49 crore,1860 SqFeet,8011,3 Bedroom,
447," Alladin County, Sanat",75 lakhs,1155 SqFeet,6494,2 Bedroom,
448," Aakriti Miro, Nallagandla",2.3 crores,1935 SqFeet,11886,3 Bedroom,
449," High Fields, Nanakramguda",2.5 crores,2729 SqFeet,9161,4 Bedroom,
450," Nebula Aavaas, Miyapur",19 lakhs,650 SqFeet,2923,1 Bedroom,
451," Nebula Aavaas, Miyapur",28 lakhs,950 SqFeet,2947,2 Bedroom,
452," Greenview Apartments, Maheshwaram",40 lakhs,1130 SqFeet,3540,2 Bedroom,
453," Greenview Apartments, Maheshwaram",85 lakhs,2060 SqFeet,4126,3 Bedroom,
454," Essen Platinum, Ameerpet",,2000 SqFeet,,3 Bedroom,
455," Essen Platinum, Ameerpet",,2500 SqFeet,,3 Bedroom,
456," Shriya Ambience, Kothapet",39 lakhs,995 SqFeet,3920,2 Bedroom,
457," Shriya Ambience, Kothapet",56 lakhs,1414 SqFeet,3960,3 Bedroom,
458," Aishwarya Condos, Narsingi",Below 10 lacs,1610 SqFeet,,3 Bedroom,
459," Aishwarya Condos, Narsingi",,1000 SqFeet,,2 Bedroom,
460," Muppas Aikya, Manikonda",,3011 SqFeet,,3 Bedroom,
461," Northstar Hillside, Gandipet",41.4 lakhs,4600 SqFeet,900,2 Bedroom,
462," Urban One, Kokapet",2.2 crores,199.74 SqMeters,,4 Bedroom,
463," Safe Residence, Chaderghat",,1500 SqFeet,,2 Bedroom,
464," Phase 1A, Kompalli",,930 SqFeet,,2 Bedroom,
465," Yellow Bells, Kompalli",,1294 SqFeet,,2 Bedroom,
466," Phase 1A, Kompalli",,1595 SqFeet,,3 Bedroom,
467," Yellow Bells, Kompalli",,1911 SqFeet,,3 Bedroom,
468," Ananda Lilly, Manikonda",,1555 SqFeet,,2 Bedroom,
469," Ramireddy Towers, Manikonda",74.03 lakhs,1280 SqFeet,5784,2 Bedroom,
470," Anuhar Towers, Manikonda",73.86 lakhs,1296 SqFeet,5699,2 Bedroom,
471," Nature Walk, Manikonda",58.75 lakhs,1175 SqFeet,5000,2 Bedroom,
472," Nature Walk, Manikonda",86.4 lakhs,1728 SqFeet,5000,3 Bedroom,
473," Ramireddy Towers, Manikonda",1.43 crore,2810 SqFeet,5089,3 Bedroom,
474," Anuhar Towers, Manikonda",1.1 crore,1967 SqFeet,5592,3 Bedroom,
475," Prime Residency, Attapur",56.07 lakhs,1350 SqFeet,4153,3 Bedroom,
476," Prime Residency, Attapur",40.74 lakhs,970 SqFeet,4200,2 Bedroom,
477," Garden Suites, Banjara",3.06 crores,4000 SqFeet,7650,3 Bedroom,
478," Aparna CyberLife, Nallagandla",1.17 crore,1985 SqFeet,5894,3 Bedroom,
479," Essen Elegance, Nallagandla",1.01 crore,1685 SqFeet,5994,3 Bedroom,
480," Eden Park, Nallagandla",81.22 lakhs,1805 SqFeet,4500,3 Bedroom,
481," Aparna CyberLife, Nallagandla",75.51 lakhs,1280 SqFeet,5899,2 Bedroom,
482," Essen Elegance, Nallagandla",63 lakhs,1050 SqFeet,6000,2 Bedroom,
483," Aakriti Miro, Nallagandla",74.97 lakhs,1119 SqFeet,6700,2 Bedroom,
484," Aakriti Miro, Nallagandla",1.55 crore,2162 SqFeet,7169,3 Bedroom,
485," Morning Raaga, Manikonda",1.14 crore,2700 SqFeet,4222,3 Bedroom,
486," Morning Raaga, Manikonda",68.05 lakhs,1370 SqFeet,4967,2 Bedroom,
487," Empire Meadows, Miyapur",73.97 lakhs,1370 SqFeet,5399,2 Bedroom,
488," Meda Heights, Miyapur",64.02 lakhs,1070 SqFeet,5983,2 Bedroom,
489," Meda Heights, Miyapur",96 lakhs,1600 SqFeet,6000,3 Bedroom,
490," Park Ville, Tellapur",1.05 crore,2189 SqFeet,4797,3 Bedroom,
491," Park Ville, Tellapur",72.43 lakhs,1509 SqFeet,4800,2 Bedroom,
492," of Living, Manikonda",78.18 lakhs,1261 SqFeet,6200,2 Bedroom,
493," of Living, Manikonda",1.13 crore,1827 SqFeet,6185,3 Bedroom,
494," SK Wonders, Kondapur",28.48 lakhs,712 SqFeet,4000,2 Bedroom,
495," Homes Leela, Padmarao",1.22 crore,1432 SqFeet,8520,3 Bedroom,
496," Homes Leela, Padmarao",1.82 crore,2138 SqFeet,8513,4 Bedroom,
497," SL Square, Himayath",49.1 lakhs,1755 SqFeet,2798,3 Bedroom,
498," SK Wonders, Kondapur",65.84 lakhs,1646 SqFeet,4000,3 Bedroom,
499," Shriya Pearls, Kondapur",45.22 lakhs,1350 SqFeet,3350,3 Bedroom,
500," Shriya Pearls, Kondapur",36.85 lakhs,1100 SqFeet,3350,2 Bedroom,
501," Shriya Symphony, Langar",32.03 lakhs,1001 SqFeet,3200,2 Bedroom,
502," EAPL Ventures, Saifabad",,2115 SqFeet,,3 Bedroom,
503," Yellow Stone, Manikonda",1.09 crore,2180 SqFeet,5000,3 Bedroom,
504," Sunny Side, Manikonda",93.43 lakhs,1967 SqFeet,4750,3 Bedroom,
505," Muppas Melody, Osman",57.52 lakhs,1010 SqFeet,5695,2 Bedroom,
506," Muppas Melody, Osman",97.95 lakhs,1725 SqFeet,5678,3 Bedroom,
507," Ozone Heights, Osman",1.14 crore,2205 SqFeet,5170,3 Bedroom,
508," Aparna Cyberscape, Nallagandla",1.29 crore,2070 SqFeet,6232,3 Bedroom,
509," Aparna Cyberscape, Nallagandla",83.42 lakhs,1335 SqFeet,6249,2 Bedroom,
510," Aryamitra Grasshopper, Manikonda",33.15 lakhs,1507 SqFeet,2200,3 Bedroom,
511," 99 Parc, Manikonda",1.03 crore,2100 SqFeet,4905,3 Bedroom,
512," 99 Parc, Manikonda",66.93 lakhs,1325 SqFeet,5051,2 Bedroom,
513," Homes Veda, Himayath",68.29 lakhs,1115 SqFeet,6125,3 Bedroom,
514," Raintree Abode, Lingampally",41.48 lakhs,1037 SqFeet,4000,2 Bedroom,
515," Raintree Abode, Lingampally",95 lakhs,1599 SqFeet,5941,3 Bedroom,
516," Avani Avasa, Narsingi",27.13 lakhs,1150 SqFeet,2359,2 Bedroom,
517," Suvarna Heights, Kothur",1.15 crore,1680 SqFeet,6845,3 Bedroom,
518," Shriya Serenity, Gachibowli",54 lakhs,900 SqFeet,6000,2 Bedroom,
519," District 1, Gachibowli",68.35 lakhs,1266 SqFeet,5399,3 Bedroom,
520," Shriya Serenity, Gachibowli",92.04 lakhs,1605 SqFeet,5735,3 Bedroom,
521," Tree Extension, Narsingi",85.41 lakhs,1553 SqFeet,5500,3 Bedroom,
522," Tree Extension, Narsingi",71.61 lakhs,1302 SqFeet,5500,2 Bedroom,
523," Sapphire Heights, Nallagandla",40.25 lakhs,1150 SqFeet,3500,2 Bedroom,
524," View Towers, Nallagandla",48.3 lakhs,1380 SqFeet,3500,2 Bedroom,
525," Sapphire Heights, Nallagandla",59.48 lakhs,1525 SqFeet,3900,3 Bedroom,
526," The Summit, Narsingi",1.39 crore,1860 SqFeet,7473,3 Bedroom,
527," View Towers, Nallagandla",82.95 lakhs,2370 SqFeet,3500,3 Bedroom,
528," Asbl Lakeside, Chaitanya",80.08 lakhs,1335 SqFeet,5999,2 Bedroom,
529," Asbl Lakeside, Chaitanya",1.09 crore,1826 SqFeet,5969,3 Bedroom,
530," Trend Residency, Upperpalli",42.81 lakhs,1223 SqFeet,3500,3 Bedroom,
531," Times Enclave, Attapur",38.98 lakhs,1368 SqFeet,2849,3 Bedroom,
532," ORR Heights, Kardhanur",,1259 SqFeet,,2 Bedroom,
533," ORR Heights, Kardhanur",,1840 SqFeet,,3 Bedroom,
534," ORR Heights, Kardhanur",,2860 SqFeet,,4 Bedroom,
535," Sarovar Grande, Nallagandla",1.75 crore,1970 SqFeet,8883,3 Bedroom,
536," Sarovar Grande, Nallagandla",3.31 crores,3735 SqFeet,8862,4 Bedroom,
537," Rajapushpa Atria, Gachibowli",1.8 crore,1350 SqFeet,13333,2 Bedroom,
538," Rajapushpa Atria, Gachibowli",2.24 crores,1685 SqFeet,13294,3 Bedroom,
539," Rajapushpa Atria, Gachibowli",4.6 crores,3455 SqFeet,13314,4 Bedroom,
540," Aparna Aura, Jubilee",1.15 crore,1721 SqFeet,6682,3 Bedroom,
541," Northstar Leela, Padmarao",1.22 crore,1432 SqFeet,8520,3 Bedroom,
542," Northstar Leela, Padmarao",1.82 crore,2138 SqFeet,8513,4 Bedroom,
543," Rajapushpa Regalia, Kokapet",1.3 crore,1945 SqFeet,6684,3 Bedroom,
544," Essen Marvella, Jeedimetla",72.45 lakhs,1575 SqFeet,4600,3 Bedroom,
545," Essen Marvella, Jeedimetla",49.73 lakhs,1105 SqFeet,4500,2 Bedroom,
546," Rajapushpa Imperia, Tellapur",78.29 lakhs,1350 SqFeet,5799,2 Bedroom,
547," Lake Breeze, Chanda",59.55 lakhs,1295 SqFeet,4598,2 Bedroom,
548," Silver Oaks, Chanda",83.28 lakhs,1700 SqFeet,4899,3 Bedroom,
549," Lake Breeze, Chanda",1.07 crore,2335 SqFeet,4582,3 Bedroom,
550," HillPark Avenues, Chanda",1.19 crore,1670 SqFeet,7126,3 Bedroom,
551," Rajapushpa Imperia, Tellapur",1.67 crore,2880 SqFeet,5799,3 Bedroom,
552," Silver Oaks, Chanda",60.74 lakhs,1200 SqFeet,5062,2 Bedroom,
553," HillPark Avenues, Chanda",82 lakhs,1150 SqFeet,7130,2 Bedroom,
554," Poulomi Avante, Kokapet",1.65 crore,2540 SqFeet,6496,3 Bedroom,
555," Serene Park, Kondapur",1.03 crore,1295 SqFeet,7954,2 Bedroom,
556," Serene Park, Kondapur",1.79 crore,2250 SqFeet,7956,3 Bedroom,
557," Rajapushpa Eterna, Nanakramguda",4.09 crores,2899 SqFeet,14108,4 Bedroom,
558," Rajapushpa Eterna, Nanakramguda",2.07 crores,1755 SqFeet,11795,3 Bedroom,
559," Hallmark Skyrena, Narsingi",1.46 crore,2255 SqFeet,6475,3 Bedroom,
560," Hallmark Vicinia, Narsingi",1.43 crore,2055 SqFeet,6959,3 Bedroom,
561," Bay Hills, Narsingi",1.44 crore,2635 SqFeet,5465,3 Bedroom,
562," Hallmark Skyrena, Narsingi",86.11 lakhs,1325 SqFeet,6499,2 Bedroom,
563," Hallmark Vicinia, Narsingi",82.54 lakhs,1270 SqFeet,6499,2 Bedroom,
564," Bay Hills, Narsingi",88.22 lakhs,1300 SqFeet,6786,2 Bedroom,
565," Poulomi 90, Kokapet",2.03 crores,2565 SqFeet,7914,3 Bedroom,
566," West Side, Manikonda",,2675 SqFeet,,3 Bedroom,
567," Beverly Hills, Kokapet",1.94 crore,2708 SqFeet,7164,4 Bedroom,
568," Hallmark Treasor, Narsingi",1.23 crore,1765 SqFeet,6969,3 Bedroom,
569," Hallmark Treasor, Narsingi",3.55 crores,5080 SqFeet,6988,4 Bedroom,
570," Sarovar Zicon, Nallagandla",86.78 lakhs,1240 SqFeet,6998,2 Bedroom,
571," Sarovar Zicon, Nallagandla",1.93 crore,2765 SqFeet,6980,4 Bedroom,
572," Sarovar Zicon, Nallagandla",1.07 crore,1530 SqFeet,6993,3 Bedroom,
573," Aakriti Cyan, Tellapur",91.03 lakhs,1723 SqFeet,5283,3 Bedroom,
574," Aakriti Esta, Tellapur",63.85 lakhs,1064 SqFeet,6001,2 Bedroom,
575," Aakriti Cyan, Tellapur",61.42 lakhs,1159 SqFeet,5299,2 Bedroom,
576," Samza Residency, Upperpalli",,851 SqFeet,,2 Bedroom,
577," Aparna Serenity, Kompalli",76.78 lakhs,1280 SqFeet,5998,2 Bedroom,
578," Aparna Serenity, Kompalli",1.63 crore,2730 SqFeet,5971,3 Bedroom,
579," Hills Residency, Shaikpet",,1208 SqFeet,,3 Bedroom,
580,,,1463 SqFeet,,3 Bedroom,
581," Aparna Altius, Shamshabad",80.31 lakhs,1385 SqFeet,5799,2 Bedroom,
582," Aparna Altius, Shamshabad",1.3 crore,2250 SqFeet,5778,3 Bedroom,
583," Crest Towers, Shaikpet",1.36 crore,1700 SqFeet,8000,3 Bedroom,
584," Kanopy Marigold, Kompalli",59.36 lakhs,1250 SqFeet,4749,2 Bedroom,
585," Silicon Heights, Tellapur",59.63 lakhs,1325 SqFeet,4500,2 Bedroom,
586," Silicon Heights, Tellapur",76.05 lakhs,1700 SqFeet,4474,3 Bedroom,
587," Poulomi 90, Kokapet",,3250 SqFeet,,4 Bedroom,
588," Ambience Courtyard, Manikonda",90.99 lakhs,980 SqFeet,9285,2 Bedroom,
589," Ananda Urbansdale, Manikonda",52.83 lakhs,1016 SqFeet,5200,2 Bedroom,
590," Greenspace Signature, Manikonda",34.5 lakhs,1150 SqFeet,3000,2 Bedroom,
591," Ambience Courtyard, Manikonda",1.11 crore,1640 SqFeet,6768,3 Bedroom,
592," Ananda Urbansdale, Manikonda",1.05 crore,2020 SqFeet,5198,3 Bedroom,
593," Greenspace Signature, Manikonda",55.5 lakhs,1850 SqFeet,3000,3 Bedroom,
594," Yellow Bells, Gundla",62.09 lakhs,1294 SqFeet,4798,2 Bedroom,
595," Yellow Bells, Gundla",91.07 lakhs,1911 SqFeet,4766,3 Bedroom,
596," Saptagiri Towers, Pragathi",,1080 SqFeet,,2 Bedroom,
597," Aparna Zenon, Puppalaguda",,1240 SqFeet,,2 Bedroom,
